Size,UnitPrice,TotalPrice,District
 43 ,18462,600,都江堰
 79.3  ,6621,52.5,都江堰
 65  ,10000,65,都江堰
 146  ,9247,135,都江堰
 99.8  ,12025,120,都江堰
 110  ,9091,100,都江堰
 113  ,10177,115,都江堰
 75.8  ,8971,68,都江堰
 83  ,6687,55.5,都江堰
 111  ,5586,62,都江堰
 70  ,7000,49,都江堰
 86.86  ,11168,97,都江堰
 88  ,6819,60,都江堰
 78  ,6667,52,都江堰
 130.86  ,10011,131,都江堰
 149  ,11947,178,都江堰
 86  ,8489,73,都江堰
 210  ,12286,258,都江堰
 102  ,9314,95,都江堰
 105  ,5239,55,都江堰
 126.2  ,8717,110,都江堰
 42 ,9952,205,都江堰
 59  ,8475,50,都江堰
 99.64  ,9334,93,都江堰
 119.8  ,6344,76,都江堰
 207  ,4831,100,都江堰
 71.17  ,6323,45,都江堰
 101  ,7921,80,都江堰
 132  ,10455,138,都江堰
 75  ,8667,65,都江堰
 130  ,9231,120,都江堰
 74  ,9595,71,都江堰
 135  ,6149,83,都江堰
 110  ,8091,89,都江堰
 93  ,6130,57,都江堰
 216  ,8426,182,都江堰
 106  ,13680,145,都江堰
 244  ,10492,256,都江堰
 69.83  ,8020,56,都江堰
 53 ,16667,800,都江堰
 180  ,6167,111,都江堰
 178  ,9551,170,都江堰
 236.67  ,11198,265,都江堰
 108  ,10278,111,都江堰
 134  ,6418,86,都江堰
 110  ,11364,125,都江堰
 110  ,11364,125,都江堰
 110  ,11000,121,都江堰
 182  ,7968,145,都江堰
 150  ,6534,98,都江堰
 129.85  ,10474,136,都江堰
 188  ,5852,110,都江堰
 75.8  ,10423,79,都江堰
 86  ,7442,64,都江堰
 105  ,10096,106,都江堰
 148  ,10136,150,都江堰
 127.44  ,5650,72,建设路
 137  ,7300,100,都江堰
 87  ,6897,60,都江堰
 92  ,9240,85,都江堰
 49  ,6939,34,都江堰
 76  ,9053,68.8,都江堰
 116  ,7673,89,都江堰
 110  ,12364,136,都江堰
 108  ,9075,98,都江堰
 91  ,9231,84,都江堰
 41  ,7318,30,都江堰
 52 ,6500,208,都江堰
 72  ,7362,53,都江堰
 195  ,7180,140,都江堰
 129  ,9923,128,都江堰
 210  ,6667,140,都江堰
 158  ,11899,188,都江堰
 198.09  ,6311,125,都江堰
 72  ,9028,65,都江堰
 125  ,9600,120,都江堰
 120  ,8167,98,都江堰
 92.5  ,8109,75,都江堰
 79.93  ,9759,78,都江堰
 97.8  ,9203,90,都江堰
 41.11  ,9244,38,都江堰
 91.26  ,8219,75,都江堰
 183  ,11476,210,都江堰
 99.85  ,9615,96,都江堰
 101  ,9406,95,都江堰
 94.47  ,8998,85,都江堰
 70  ,7572,53,都江堰
 163.72  ,24921,408,东苑
 78  ,15385,120,大面
 76.91  ,17163,132,万年场
 92.36  ,11477,106,温江大学城
 141.84  ,13748,195,蛟龙港
 44.83  ,10440,46.8,大面
 107.01  ,14485,155,华府
 51  ,16667,85,犀浦
 102.38  ,13870,142,神仙树
 85.69  ,17272,148,外光华
 65.32  ,13013,85,红牌楼
 138.43  ,10114,140,新都城区
 73  ,17809,130,外光华
 57.7  ,10052,58,蛟龙港
 96.79  ,11882,115,双楠
 51.01  ,14115,72,琉璃场
 75  ,17334,130,中和
 79.14  ,11373,90,花都大道
 96.78  ,12400,120,中和
