Size,UnitPrice,TotalPrice,District
85.12,12923.0,110.0,理工大
89.0,14607.0,130.0,大面
128.78,12425.0,160.0,航空港
98.2,11813.0,116.0,航空港
77.46,16654.0,129.0,中德
138.61,24890.0,345.0,大源
103.4,15958.0,165.0,航空港
170.02,35290.0,600.0,东郊记忆
52.0,19231.0,100.0,橡树湾
42.42,11787.0,50.0,温江大学城
556.0,15000.0,834.0,草市街
82.8,8817.0,73.0,青白江
97.13,12355.0,120.0,郫县城区
88.72,8792.0,78.0,青白江
99.5,17588.0,175.0,海洋公园
46.16,12132.0,56.0,红牌楼
63.0,20635.0,130.0,外金沙
92.14,16280.0,150.0,国宾
83.98,7860.0,66.0,航天
58.69,13291.0,78.0,龙潭寺
46.24,10814.0,50.0,金融城
64.32,16947.0,109.0,理工大
119.39,25966.0,310.0,神仙树
98.84,15986.0,158.0,驷马桥
67.7,11817.0,80.0,一品天下
90.01,17221.0,155.0,武侯立交
110.95,16044.0,178.0,一品天下
117.93,17808.0,210.0,蓝谷地
52.4,12023.0,63.0,石人小区
91.0,21209.0,193.0,大源
39.28,3819.0,15.0,武侯立交
175.0,12572.0,220.0,都江堰
105.9,9727.0,103.0,郫县万达
44.57,12341.0,55.0,水碾河
131.15,9150.0,120.0,都江堰
86.04,16969.0,146.0,三圣乡
51.99,12984.0,67.5,高家庄
49.01,13467.0,66.0,光华大道沿线
46.67,13500.0,63.0,高家庄
133.65,10476.0,140.0,犀浦
260.95,19161.0,500.0,光华大道沿线
42.0,16620.0,500.0,保利公园
113.82,13355.0,152.0,外双楠
89.0,10113.0,90.0,温江大学城
139.66,12173.0,170.0,芙蓉古城
77.5,10581.0,82.0,红光
77.94,17322.0,135.0,橡树湾
57.0,13158.0,75.0,大源
70.15,26373.0,185.0,金融城
97.47,13133.0,128.0,蛟龙港
85.18,12445.0,106.0,大丰
38.73,14460.0,56.0,新北
96.0,12084.0,116.0,龙泉驿城区
116.95,15819.0,185.0,高家庄
73.0,6987.0,51.0,东升镇
54.43,19291.0,105.0,三圣乡
92.24,15178.0,140.0,大面
94.4,6886.0,65.0,郫县万达
49.11,19345.0,95.0,金牛万达
112.31,11754.0,132.0,毗河
111.17,8996.0,100.0,温江大学城
69.85,17180.0,120.0,文星镇
49.5,13536.0,67.0,蛟龙港
78.3,24266.0,190.0,川师
79.15,11371.0,90.0,郫县城区
70.36,11797.0,83.0,洪河
124.38,10613.0,132.0,猛追湾
255.34,10966.0,280.0,驷马桥
255.34,10966.0,280.0,驷马桥
31.63,3794.0,12.0,南湖
31.63,3794.0,12.0,南湖
271.04,11069.0,300.0,驷马桥
81.44,15963.0,130.0,光华大道沿线
122.0,18443.0,225.0,橡树湾
123.42,25118.0,310.0,贝森
89.2,21301.0,190.0,红牌楼
102.54,9753.0,100.0,大丰
89.9,23360.0,210.0,合江亭
48.87,7162.0,35.0,高新西
84.19,14848.0,125.0,火车南站
28.54,5256.0,15.0,大面
108.93,9089.0,99.0,郫县城区
147.21,14266.0,210.0,草金立交
63.0,11017.0,260.0,都江堰
128.0,8594.0,110.0,高新西
79.07,18339.0,145.0,万象城
46.0,11957.0,55.0,西南财大
92.0,8696.0,80.0,都江堰
119.28,10480.0,125.0,青白江
116.0,11638.0,135.0,郫县城区
87.34,7786.0,68.0,青白江
81.58,18633.0,152.0,金融城
33.0,11516.0,38.0,犀浦
124.0,10888.0,135.0,郫县城区
71.44,15398.0,110.0,外双楠
40.02,31985.0,128.0,盐市口
68.9,14224.0,98.0,成外
111.22,16005.0,178.0,驷马桥
58.5,12137.0,71.0,龙泉驿城区
88.59,31607.0,280.0,广都
77.0,15585.0,120.0,一品天下
220.0,15910.0,350.0,华府
83.73,12183.0,102.0,光华大道沿线
48.8,12296.0,60.0,一品天下
104.99,12002.0,126.0,郫县城区
89.56,10943.0,98.0,青白江
89.42,12078.0,108.0,大丰
116.27,25803.0,300.0,万年场
81.16,21563.0,175.0,华府
63.7,8321.0,53.0,郫县万达
138.0,15000.0,207.0,航空港
68.49,16791.0,115.0,丽都
68.78,23990.0,165.0,攀成钢
138.45,14085.0,195.0,蜀汉路
60.97,9021.0,55.0,红光
124.59,10836.0,135.0,郫县万达
80.38,16174.0,130.0,万年场
74.0,10136.0,75.0,郫县城区
115.91,12942.0,150.0,航空港
58.0,13794.0,80.0,万象城
63.0,18532.0,620.0,新津
76.0,14474.0,110.0,海洋公园
95.0,11579.0,110.0,花都大道
